time,label,label_id,200Hz_roll,200Hz_pich,200Hz_yaw,100Hz_roll,100Hz_pich,100Hz_yaw,50Hz_roll,50Hz_pich,50Hz_yaw,25Hz_roll,25Hz_pich,25Hz_yaw
2018-05-29 21:02:21.985,none,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 21:02:21.990,none,-1,-0.0595261052589841,-0.10362116514506572,-0.00031503192998497647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 21:02:21.995,none,-1,-0.15267291851300793,-0.27207664016429045,-0.0006601707895668551,-0.0262866883791849,-0.05234501998945654,-0.00030543261909900764,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 21:02:22.000,none,-1,-0.2411948586460016,-0.4548217583018229,-0.00096953039948285,-0.0525733767583698,-0.10469003997891307,-0.0006108652381980153,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 21:02:22.005,none,-1,-0.32257134723771685,-0.6160801100241404,-0.001277581012459849,-0.09624618779415878,-0.1882430862128392,-0.0009577494270318884,-0.013961341540537135,-0.02575954142567503,-0.00033292155481791835,-0.007624487963619097,-0.012708691412417641,-0.00020943951023931953
2018-05-29 21:02:22.010,none,-1,-0.3920110457058471,-0.7501619091388947,-0.0016628624448375973,-0.13991899882994774,-0.2717961324467653,-0.0013046336158657615,-0.02792268308107427,-0.05151908285135006,-0.0006658431096358367,-0.015248975927238194,-0.025417382824835282,-0.00041887902047863906
2018-05-29 21:02:22.015,none,-1,-0.44905734235550543,-0.8521932803336918,-0.002083486794568231,-0.1894803626147179,-0.3618811035148768,-0.0017147859900844289,-0.04188402462161141,-0.07727862427702509,-0.0009987646644537551,-0.02287346389085729,-0.03812607423725292,-0.0006283185307179586
2018-05-29 21:02:22.020,none,-1,-0.4944667352643627,-0.9297890219970154,-0.0024901485102829103,-0.2390417263994881,-0.4519660745829882,-0.002124938364303096,-0.05584536616214854,-0.10303816570270012,-0.0013316862192716734,-0.030497951854476388,-0.050834765649670564,-0.0008377580409572781
2018-05-29 21:02:22.025,none,-1,-0.5343093144385822,-0.986141023943968,-0.002870193954904675,-0.28830796931234687,-0.5321932825639577,-0.002480112867083942,-0.08074174991371645,-0.14419027484777153,-0.0016043939148957873,-0.03812243981809549,-0.06354345706208821,-0.0010471975511965976
2018-05-29 21:02:22.030,none,-1,-0.5676608562574732,-1.0259977029867764,-0.003209224162104573,-0.3375742122252056,-0.6124204905449273,-0.002835287369864788,-0.10563813366528435,-0.18534238399284292,-0.001877101610519901,-0.04574692778171458,-0.07625214847450584,-0.0012566370614359172
2018-05-29 21:02:22.035,none,-1,-0.5959526325319061,-1.0549919094946063,-0.003493712830179649,-0.3806753888957669,-0.6782463597643315,-0.003066979828067035,-0.13053451741685226,-0.22649449313791434,-0.002149809306144015,-0.053371415745333675,-0.08896083988692349,-0.0014660765716752366
2018-05-29 21:02:22.040,none,-1,-0.6184526500748081,-1.0761654345479623,-0.003695734691097993,-0.42377656556632826,-0.7440722289837356,-0.003298672286269283,-0.15543090116842018,-0.26764660228298576,-0.002422517001768129,-0.060995903708952776,-0.10166953129934113,-0.0016755160819145562
2018-05-29 21:02:22.045,none,-1,-0.633850698634053,-1.091346547286361,-0.003791291467644682,-0.45653020638147873,-0.7945460963233677,-0.003345359843760131,-0.17912051132888812,-0.31254511726897266,-0.002335686871481411,-0.07071782789592314,-0.12222398743496979,-0.0016275195274847122
2018-05-29 21:02:22.050,none,-1,-0.6442997376816335,-1.100809443814849,-0.003784310150636705,-0.4892838471966292,-0.8450199636629998,-0.0033920474012509795,-0.20281012148935607,-0.35744363225495956,-0.002248856741194693,-0.0804397520828935,-0.14277844357059843,-0.001579522973054868
2018-05-29 21:02:22.055,none,-1,-0.6425728744192376,-1.1095944584242134,-0.003650792462859138,-0.5060268873518311,-0.8840541572679613,-0.0032026791774095948,-0.226499731649824,-0.40234214724094647,-0.0021620266109079753,-0.09016167626986386,-0.1633328997062271,-0.001531526418625024
2018-05-29 21:02:22.060,none,-1,-0.6340304702333408,-1.1155526422034752,-0.0033837570873040067,-0.522769927507033,-0.9230883508729228,-0.00301331095356821,-0.25018934181029195,-0.44724066222693337,-0.0020751964806212573,-0.09988360045683423,-0.18388735584185578,-0.0014835298641951798
2018-05-29 21:02:22.065,none,-1,-0.6212177985928516,-1.1225653898852523,-0.0030181106090111944,-0.528377419955747,-0.9529837452693823,-0.002667299429360334,-0.26776685718223836,-0.4876296165438792,-0.0017911441448591801,-0.10960552464380459,-0.20444181197748443,-0.0014355333097653357
2018-05-29 21:02:22.070,none,-1,-0.6043549587614399,-1.126398064590872,-0.002629338518129457,-0.5339849124044611,-0.9828791396658418,-0.0023212879051524578,-0.28534437255418477,-0.528018570860825,-0.001507091809097103,-0.11932744883077495,-0.22499626811311307,-0.0013875367553354916
2018-05-29 21:02:22.075,none,-1,-0.580333021588012,-1.1263974878464524,-0.002284199658547579,-0.5358766045654686,-1.0030989579282448,-0.002014109956801456,-0.3029218879261312,-0.5684075251777709,-0.001223039473335026,-0.12904937301774533,-0.24555072424874175,-0.0013395402009056475
2018-05-29 21:02:22.080,none,-1,-0.5698062998445762,-1.125189211696632,-0.0020010199874114986,-0.5377682967264761,-1.023318776190648,-0.0017069320084504539,-0.3204994032980776,-0.6087964794947167,-0.000938987137572949,-0.13877129720471568,-0.2661051803843704,-0.0012915436464758035
